Transaction ID;Date;Customer ID;Gender;Age;Product Category;Quantity;Price per Unit;Total Amount;Postcode
1;24-11-2025;CUST001;Male;34;Beauty;3;€ 50,00;€ 150,00;4001LT
2;27-2-2025;CUST002;Female;26;Clothing;2;€ 500,00;€ 1.000,00;4001LT
3;13-1-2025;CUST003;Male;50;Electronics;1;€ 30,00;€ 30,00;4001LT
4;21-5-2025;CUST004;Male;37;Clothing;1;€ 500,00;€ 500,00;4001LT
5;6-5-2025;CUST005;Male;30;Beauty;2;€ 50,00;€ 100,00;4001LT
6;25-4-2025;CUST006;Female;45;Beauty;1;€ 30,00;€ 30,00;4001LT
7;13-3-2025;CUST007;Male;46;Clothing;2;€ 25,00;€ 50,00;4001LT
8;22-2-2025;CUST008;Male;30;Electronics;4;€ 25,00;€ 100,00;4001LT
9;13-12-2025;CUST009;Male;63;Electronics;2;€ 300,00;€ 600,00;4001LT
10;7-10-2025;CUST010;Female;52;Clothing;4;€ 50,00;€ 200,00;4001LT
11;14-2-2025;CUST011;Male;23;Clothing;2;€ 50,00;€ 100,00;4001LT
12;30-10-2025;CUST012;Male;35;Beauty;3;€ 25,00;€ 75,00;4001LT
13;5-8-2025;CUST013;Male;22;Electronics;3;€ 500,00;€ 1.500,00;4001LT
14;17-1-2025;CUST014;Male;64;Clothing;4;€ 30,00;€ 120,00;4001LT
15;16-1-2025;CUST015;Female;42;Electronics;4;€ 500,00;€ 2.000,00;4001LT
16;17-2-2025;CUST016;Male;19;Clothing;3;€ 500,00;€ 1.500,00;4001LT
17;22-4-2025;CUST017;Female;27;Clothing;4;€ 25,00;€ 100,00;4001LT
18;30-4-2025;CUST018;Female;47;Electronics;2;€ 25,00;€ 50,00;4001LT
19;16-9-2025;CUST019;Female;62;Clothing;2;€ 25,00;€ 50,00;4001LT
20;5-11-2025;CUST020;Male;22;Clothing;3;€ 300,00;€ 900,00;4001LT
21;14-1-2025;CUST021;Female;50;Beauty;1;€ 500,00;€ 500,00;4001LT
22;15-10-2025;CUST022;Male;18;Clothing;2;€ 50,00;€ 100,00;4001LT
23;12-4-2025;CUST023;Female;35;Clothing;4;€ 30,00;€ 120,00;4001LT
24;29-11-2025;CUST024;Female;49;Clothing;1;€ 300,00;€ 300,00;4002AL
25;26-12-2025;CUST025;Female;64;Beauty;1;€ 50,00;€ 50,00;4002AL
26;7-10-2025;CUST026;Female;28;Electronics;2;€ 500,00;€ 1.000,00;4002AL
27;3-8-2025;CUST027;Female;38;Beauty;2;€ 25,00;€ 50,00;4002AL
28;23-4-2025;CUST028;Female;43;Beauty;1;€ 500,00;€ 500,00;4002AL
29;18-8-2025;CUST029;Female;42;Electronics;1;€ 30,00;€ 30,00;4002AL
30;29-10-2025;CUST030;Female;39;Beauty;3;€ 300,00;€ 900,00;4002AL
31;23-5-2025;CUST031;Male;44;Electronics;4;€ 300,00;€ 1.200,00;4002AL
32;4-1-2025;CUST032;Male;30;Beauty;3;€ 30,00;€ 90,00;4002AL
33;23-3-2025;CUST033;Female;50;Electronics;2;€ 50,00;€ 100,00;4002AL
34;24-12-2025;CUST034;Female;51;Clothing;3;€ 50,00;€ 150,00;4002AL
35;5-8-2025;CUST035;Female;58;Beauty;3;€ 300,00;€ 900,00;4002AL
36;24-6-2025;CUST036;Male;52;Beauty;3;€ 300,00;€ 900,00;4002AL
37;23-5-2025;CUST037;Female;18;Beauty;3;€ 25,00;€ 75,00;4002AL
38;21-3-2025;CUST038;Male;38;Beauty;4;€ 50,00;€ 200,00;4002AL
39;21-4-2025;CUST039;Male;23;Clothing;4;€ 30,00;€ 120,00;4002AL
40;22-6-2025;CUST040;Male;45;Beauty;1;€ 50,00;€ 50,00;4002AL
41;22-2-2025;CUST041;Male;34;Clothing;2;€ 25,00;€ 50,00;4002AL
42;17-2-2025;CUST042;Male;22;Clothing;3;€ 300,00;€ 900,00;4002AL
43;14-7-2025;CUST043;Female;48;Clothing;1;€ 300,00;€ 300,00;4002AL
44;19-2-2025;CUST044;Female;22;Clothing;1;€ 25,00;€ 25,00;4002AL
45;3-7-2025;CUST045;Female;55;Electronics;1;€ 30,00;€ 30,00;4002AL
46;26-6-2025;CUST046;Female;20;Electronics;4;€ 300,00;€ 1.200,00;4002AL
47;6-11-2025;CUST047;Female;40;Beauty;3;€ 500,00;€ 1.500,00;4002AL
48;16-5-2025;CUST048;Male;54;Electronics;3;€ 300,00;€ 900,00;4002AL
49;23-1-2025;CUST049;Female;54;Electronics;2;€ 500,00;€ 1.000,00;4002AL
50;24-8-2025;CUST050;Female;27;Beauty;3;€ 25,00;€ 75,00;4002AL
51;2-10-2025;CUST051;Male;27;Beauty;3;€ 25,00;€ 75,00;4002AL
52;5-3-2025;CUST052;Female;36;Beauty;1;€ 300,00;€ 300,00;4002AL
53;13-7-2025;CUST053;Male;34;Electronics;2;€ 50,00;€ 100,00;4002AL
54;10-2-2025;CUST054;Female;38;Electronics;3;€ 500,00;€ 1.500,00;4002AL
55;10-10-2025;CUST055;Male;31;Beauty;4;€ 30,00;€ 120,00;4002AL
56;31-5-2025;CUST056;Female;26;Clothing;3;€ 300,00;€ 900,00;4002AL
57;18-11-2025;CUST057;Female;63;Beauty;1;€ 30,00;€ 30,00;4002AL
58;13-11-2025;CUST058;Male;18;Clothing;4;€ 300,00;€ 1.200,00;4002AL
59;5-7-2025;CUST059;Male;62;Clothing;1;€ 50,00;€ 50,00;4002AL
60;23-10-2025;CUST060;Male;30;Beauty;3;€ 50,00;€ 150,00;4002AL
61;9-4-2025;CUST061;Male;21;Beauty;4;€ 50,00;€ 200,00;4002AL
62;27-12-2025;CUST062;Male;18;Beauty;2;€ 50,00;€ 100,00;4002AL
63;5-2-2025;CUST063;Male;57;Electronics;2;€ 25,00;€ 50,00;4002AL
64;24-1-2025;CUST064;Male;49;Clothing;4;€ 25,00;€ 100,00;4002AL
65;5-12-2025;CUST065;Male;51;Electronics;4;€ 500,00;€ 2.000,00;4002AL
66;27-4-2025;CUST066;Female;45;Electronics;1;€ 30,00;€ 30,00;4002AL
67;29-5-2025;CUST067;Female;48;Beauty;4;€ 300,00;€ 1.200,00;4002AL
68;10-2-2025;CUST068;Male;25;Electronics;1;€ 300,00;€ 300,00;4002AL
69;30-4-2025;CUST069;Female;56;Beauty;3;€ 25,00;€ 75,00;4002AL
70;21-2-2025;CUST070;Female;43;Clothing;1;€ 300,00;€ 300,00;4002AL
71;14-7-2025;CUST071;Female;51;Beauty;4;€ 25,00;€ 100,00;4002AL
72;23-5-2025;CUST072;Female;20;Electronics;4;€ 500,00;€ 2.000,00;4002AL
73;21-8-2025;CUST073;Male;29;Electronics;3;€ 30,00;€ 90,00;4002AL
74;22-11-2025;CUST074;Female;18;Beauty;4;€ 500,00;€ 2.000,00;4002AL
75;6-7-2025;CUST075;Male;61;Beauty;4;€ 50,00;€ 200,00;4002AL
76;25-3-2025;CUST076;Female;22;Electronics;2;€ 50,00;€ 100,00;4002AL
77;9-7-2025;CUST077;Female;47;Clothing;2;€ 50,00;€ 100,00;4002AL
78;1-7-2025;CUST078;Female;47;Clothing;3;€ 500,00;€ 1.500,00;4002AL
79;18-4-2025;CUST079;Male;34;Beauty;1;€ 300,00;€ 300,00;4002AL
80;10-12-2025;CUST080;Female;64;Clothing;2;€ 30,00;€ 60,00;4002AL
81;17-5-2025;CUST081;Male;40;Electronics;1;€ 50,00;€ 50,00;4002AL
82;26-12-2025;CUST082;Female;32;Beauty;4;€ 50,00;€ 200,00;4002AL
83;16-12-2025;CUST083;Male;54;Electronics;2;€ 50,00;€ 100,00;4002AL
84;28-11-2025;CUST084;Female;38;Electronics;3;€ 30,00;€ 90,00;4002AL
85;6-2-2025;CUST085;Male;31;Clothing;3;€ 50,00;€ 150,00;4002AL
86;8-11-2025;CUST086;Male;19;Beauty;3;€ 30,00;€ 90,00;4002AL
87;22-11-2025;CUST087;Female;28;Beauty;2;€ 50,00;€ 100,00;4002AL
88;29-3-2025;CUST088;Male;56;Clothing;1;€ 500,00;€ 500,00;4002AL
89;1-10-2025;CUST089;Female;55;Electronics;4;€ 500,00;€ 2.000,00;4002AL
90;6-5-2025;CUST090;Female;51;Electronics;1;€ 30,00;€ 30,00;4002AL
91;25-3-2025;CUST091;Female;55;Electronics;1;€ 500,00;€ 500,00;4002AL
92;25-8-2025;CUST092;Female;51;Electronics;4;€ 30,00;€ 120,00;4002AL
93;14-7-2025;CUST093;Female;35;Beauty;4;€ 500,00;€ 2.000,00;4002AL
94;19-5-2025;CUST094;Female;47;Beauty;2;€ 500,00;€ 1.000,00;4002AL
95;24-11-2025;CUST095;Female;32;Clothing;2;€ 30,00;€ 60,00;4002AL
96;19-12-2025;CUST096;Female;44;Clothing;2;€ 300,00;€ 600,00;4002AL
97;13-10-2025;CUST097;Female;51;Beauty;2;€ 500,00;€ 1.000,00;4002AL
98;23-4-2025;CUST098;Female;55;Beauty;2;€ 50,00;€ 100,00;4002AL
99;17-12-2025;CUST099;Female;50;Electronics;4;€ 300,00;€ 1.200,00;4002AL
100;16-6-2025;CUST100;Male;41;Electronics;1;€ 30,00;€ 30,00;4002AL
101;29-1-2025;CUST101;Male;32;Clothing;2;€ 300,00;€ 600,00;4002AL
102;28-4-2025;CUST102;Female;47;Beauty;2;€ 25,00;€ 50,00;4002AL
103;17-1-2025;CUST103;Female;59;Clothing;1;€ 25,00;€ 25,00;4002AL
104;11-6-2025;CUST104;Female;34;Beauty;2;€ 500,00;€ 1.000,00;4002AL
105;25-7-2025;CUST105;Female;22;Electronics;1;€ 500,00;€ 500,00;4002AL
106;18-5-2025;CUST106;Female;46;Clothing;1;€ 50,00;€ 50,00;4002AL
